;8;10;11;16;28;35;39;46;51;62;63;88;91;95;102;104;109;110
8;0;0;0.002756;0;0;0.002826;0;0;0.003388;0;0.003467;0.003261;0.00232;0;0;0;0;0.005574
10;0;0;0.004043;0.00281;0.001337;0.003079;0.003284;0.003319;0.002967;0.003423;0;0.00152;0.00288;0;0.010378;0;0;0.005718
11;0.003946;0.00343;0;0;0.001133;0;0.0036;0.003557;0.001841;0.003267;0.004343;0.002929;0.003139;0.016192;0.014329;0.004745;0.003614;0.005832
16;0;0;0.002488;0;0;0;0.002488;0.002693;0;0.003164;0;0.002193;0.001983;0;0.009888;0;0;0.004569
28;0.002499;0.001565;0.001772;0;0;0.001589;0.002012;0.002362;0.000912;0.001635;0.001658;0.001717;0.001344;0.010961;0;0;0;0.00333
35;0.004114;0.002318;0;0.002392;0.00122;0;0.003124;0.002508;0.002274;0.002587;0.003336;0.002115;0.002189;0.014863;0.012474;0.004028;0.002574;0
39;0.004817;0;0.003298;0;0.001587;0.00292;0;0.002512;0;0.003773;0;0;0;0;0.013433;0;0;0.006278
46;0.004011;0.003784;0.00343;0.002777;0;0.002718;0;0;0.00301;0;0.004079;0.001966;0.002124;0;0;0.004485;0.003535;0
51;0.00379;0;0;0;0.00165;0.002656;0.002462;0.002274;0;0.002739;0.00338;0.002076;0.002102;0.015356;0.009119;0;0.00258;0.00524
62;0;0;0.003996;0;0.001971;0.002781;0.003102;0.003165;0;0;0.003046;0;0.002589;0.016999;0.014105;0;0.003516;0.004943
63;0.004671;0.003218;0;0.00329;0.00148;0;0;0;0.002237;0.003127;0;0.002433;0.002302;0.01757;0.01538;0.004439;0;0.006447
88;0;0;0.003339;0.002284;0.001305;0.002161;0;0.002391;0.002286;0.003326;0.002027;0;0.001465;0.012936;0;0;0.00275;0.004436
91;0;0.002642;0.003069;0.002253;0.00143;0.002486;0.002629;0.003277;0.001712;0.002716;0.00318;0;0;0.012738;0;0.003778;0;0.004657
95;0;0;0.011023;0;0;0.007824;0;0.00979;0.007349;0;0.010822;0;0.007621;0;0.021383;0;0;0.015903
102;0.008744;0.008268;0.009423;0;0;0.005811;0.008762;0;0.005968;0;0.007701;0.003939;0.006741;0.029442;0;0;0;0.010957
104;0.005254;0.0043;0.004161;0;0;0.002878;0.004469;0.004329;0.003044;0.004369;0.004879;0;0.003691;0;0.016705;0;0;0.007772
109;0.003483;0;0;0;0;0.00303;0.003384;0.003041;0;0.002838;0.003507;0;0.002549;0;0.012275;0;0;0
110;0.004981;0.004221;0.004807;0.002578;0.001835;0.003885;0.004013;0.004347;0.003104;0.004317;0;0.002578;0.004031;0;0.015134;0;0;0
