;116;117;119;126;127;130;144;148;150;159;160;162
116;0;0.003588;0.00318;0.001871;0;0;0;0;0.004169;0.002799;0;0
117;0.005878;0;0.002073;0.000726;0.001451;0.001894;0.001502;0.003418;0.003448;0;0.00191;0.002533
119;0;0;0;0.000513;0.001494;0.002078;0.001489;0.002936;0.003519;0;0.002011;0.002878
126;0.002709;0;0.001656;0;0.000629;0.001103;0.000795;0.001777;0.001417;0.001819;0;0.001805
127;0;0.001627;0.001872;0;0;0.001819;0.001863;0.002535;0.002155;0;0.002259;0.002819
130;0.004559;0.002358;0.001609;0.000766;0.001792;0;0;0;0.002516;0.002136;0.001972;0
144;0;0;0.002018;0.000391;0;0;0;0;0.002232;0.001676;0;0
148;0;0.003054;0;0;0.002596;0;0.002511;0;0;0.002834;0;0.003679
150;0.004529;0;0.003207;0.001083;0.001955;0.001631;0.00212;0.00402;0;0.002645;0;0.002515
159;0.004342;0;0.002902;0.000863;0.001864;0.001308;0.001605;0.002874;0;0;0.001943;0.002115
160;0;0.0018;0.00205;0.001208;0.001497;0;0;0.002836;0.002991;0.002387;0;0
162;0;0.002675;0.002861;0.001141;0.002045;0;0.002321;0;0.002294;0.002907;0;0
